Paper,Experiment,Task,Mean d',SD,SD obtained from:,# of observations to calculate d',TotalTrials,# of subs tested,Base d',Ref  d',Comp d',any >1.86,both d' >1.86,Increase in d',Inferential test used,Reported correction factor?,Journal,Notes
,,"Visual old/new (pure, aloud)",2.2,0.69,Table 1,80 (40 studied),80,134,3,1.61,2.2,1,0,0.59,,,,
,,"Visual old/new (pure, silent)",1.66,0.81,Table 1,80 (40 studied),80,134,3,1.61,1.66,0,0,0.05,,,,
,3,"Visual old/new (mixed, aloud)",2.81,0.67,Table 4,50 (25 studied),50,56,3,1.77,2.81,1,0,1.04,ANOVA,,,
,,"Visual old/new (mixed, silent)",1.77,0.6,Table 4,50 (25 studied),50,56,,,,,,,,,,
,,"Visual old/new (pure, aloud)",2.47,0.75,Table 4,50 (25 studied),50,56,3,1.77,2.47,1,0,0.7,,,,
,,"Visual old/new (pure, silent)",1.96,0.75,Table 4,50 (25 studied),50,56,3,1.77,1.96,1,0,0.19,,,,
Tsoi et al. (2008),1,Visual yes/no (fear),1.08,0.55,Table 2,88 (28 present),88,25,,,,,,,MANOVA,Adjusted HR and FR according to Corwin (1994),Schizophrenia Research,"Schizophrenia patients were included in this study, but only values from controls are presented here"
,,Visual yes/no (happy),2.76,0.87,Table 2,88 (28 present),88,25,2,1.08,2.76,1,0,1.68,,,,
,,Visual yes/no (sad),1.54,0.7,Table 2,88 (28 present),88,25,2,1.08,1.54,0,0,0.46,,,,
Bodner et al. (2014),1,"Visual old/new (mixed, aloud)",2.18,0.83,Table 1,50 (25 studied),50,48,2,1.44,2.18,1,0,0.74,ANOVA,ceiling HR and floor FA rates adjusted by using the 1/2N correction,Psychomic Bulletin & Review,
,,"Visual old/new (mixed, silent)",1.44,0.69,Table 1,50 (25 studied),50,48,,,,,,,,,,
,,"Visual old/new (S-A, aloud)",2.21,0.83,Table 1,100 (50 studied),100,48,2,1.44,2.21,1,0,0.77,,,,
,,"Visual old/new (S-A, silent)",1.84,0.76,Table 1,100 (50 studied),100,48,2,1.44,1.84,0,0,0.4,,,,
,,"Visual old/new (A-S, aloud)",2.17,0.83,Table 1,100 (50 studied),100,48,2,1.44,2.17,1,0,0.73,,,,
,,"Visual old/new (A-S, silent)",1.79,0.55,Table 1,100 (50 studied),100,48,2,1.44,1.79,0,0,0.35,,,,
Johnson & Whiting (2013),1,Visual yes/no (happy),1.88,1.04,Results (p.175),128 (64 present),128,79,2,0.76,1.88,1,0,1.12,ANOVA,none reported,Psychology & Aging,
,,Visual yes/no (fearful),1.04,0.67,Results (p.175),128 (64 present),128,79,2,0.76,1.04,0,0,0.28,,,,
,,Visual yes/no (angry),0.76,0.52,Results (p.175),128 (64 present),128,79,,,,,,,,,,
Breiner et al. (2017),1,Visual go/no-go (adults),2.69,1.1,Results (p.297),Unclear,.,57,3,1.91,2.69,0,1,0.78,mixed linear model,none reported,Developmental Psychobiology,
,,Visual go/no-go (young adults),2.22,0.99,Results (p.297),Unclear,.,48,3,1.91,2.22,0,1,0.31,,,,
,,Visual go/no-go (adolescents),1.91,1.23,Results (p.297),Unclear,.,71,,,,,,,,,,
Aminoff et al. (2012),1,Visual old/new (high-prob words),0.73,0.49,Table 1,180 (126 studied),180,95,,,,,,,ANOVA (d' used as covariate),none reported,Memory & Cognition,
,,Visual old/new (low-prob words),0.83,0.49,Table 1,180 (54 studied),180,95,1,0.73,0.83,0,0,0.1,,,,
,,Visual old/new (high-prob faces),0.59,0.39,Table 1,180 (126 studied),180,95,,,,,,,,,,
,,Visual old/new (low-prob faces),0.6,0.39,Table 1,180 (54 studied),180,95,1,0.59,0.6,0,0,0.01,,,,
Bultitude et al. (2016),1,Tactile gap present/absent (mirror-symmetrical),1.58,0.91,Table 1,30 (15 present),30,23,,,,,,,ANOVA,ceiling HR adjustment: 1/(2N),PLoS ONE,
,,Tactile gap present/absent (mirror-asymmetrical),2.03,1.01,Table 1,30 (15 present),30,23,3,1.58,2.03,1,0,0.45,,floor FA adjustment: 1/(1-2N),,
,,Tactile gap present/absent (board-symmetrical),2.24,1.01,Table 1,30 (15 present),30,23,3,1.58,2.24,1,0,0.66,,,,
,,Tactile gap present/absent (board-asymmetrical),2.21,0.96,Table 1,30 (15 present),30,23,3,1.58,2.21,1,0,0.63,,,,
Correll et al. (2011),1,"Visual shoot/don't shoot (neutral, white targets)",2.42,0.79,Table 1,40 (20 shoot),40,55,,,,,,,ANOVA,none reported,Journal of Experimental Social Psychology,
,,"Visual shoot/don't shoot (neutral, black targets)",2.53,0.83,Table 1,40 (20 shoot),40,55,4,2.42,2.53,0,1,0.11,,,,
,,"Visual shoot/don't shoot (dangerous, white targets)",2.49,0.74,Table 1,40 (20 shoot),40,55,4,2.42,2.49,0,1,0.07,,,,
,,"Visual shoot/don't shoot (dangerous, black targets)",2.53,0.74,Table 1,40 (20 shoot),40,55,4,2.42,2.53,0,1,0.11,,,,
Hills & Lewis (2011),1,"Visual old/new (child, 5-6)",1.01,0.86,Table 1,16 (8 studied),16,44,1,0.7,1.01,0,0,0.31,ANOVA,none reported,Quarterly Journal of Experimental Psychology,
,,"Visual old/new (young adult, 5-6)",0.89,0.97,Table 1,16 (8 studied),16,44,1,0.7,0.89,0,0,0.19,,,,
,,"Visual old/new (older adult, 5-6)",0.7,0.93,Table 1,16 (8 studied),16,44,,,,,,,,,,
,,"Visual old/new (child, 7-9)",1.56,0.73,Table 1,16 (8 studied),16,44,1,0.7,1.56,0,0,0.86,,,,
,,"Visual old/new (young adult, 7-9)",1.04,0.76,Table 1,16 (8 studied),16,44,1,0.7,1.04,0,0,0.34,,,,
,,"Visual old/new (older adult, 7-9)",0.91,0.62,Table 1,16 (8 studied),16,44,1,0.7,0.91,0,0,0.21,,,,
,,"Visual old/new (child, 10-12)",1.17,0.78,Table 1,16 (8 studied),16,44,1,0.7,1.17,0,0,0.47,,,,
,,"Visual old/new (young adult, 10-12)",1.31,0.69,Table 1,16 (8 studied),16,44,1,0.7,1.31,0,0,0.61,,,,
,,"Visual old/new (older adult, 10-12)",1.19,0.6,Table 1,16 (8 studied),16,44,1,0.7,1.19,0,0,0.49,,,,
,,"Visual old/new (child, young adult)",1.24,0.89,Table 1,16 (8 studied),16,44,1,0.7,1.24,0,0,0.54,,,,
,,"Visual old/new (young adult, young adult)",2.08,0.55,Table 1,16 (8 studied),16,44,1,0.7,2.08,1,0,1.38,,,,
,,"Visual old/new (older adult, young adult)",1.36,0.66,Table 1,16 (8 studied),16,44,1,0.7,1.36,0,0,0.66,,,,
Hoffman et al. (2018),1,"Visual CPT go/no-go (CI, block 1)",2.62,0.86,Table 2,180 (15 'go'),180,106,4,2.38,2.62,0,1,0.24,"t-tests, correlations",FA rate of 0: adjusted to 1/(2N),Hearing Research,Table did not state if it used SD or SE - I assumed SD because that's what was used in the text
,,"Visual CPT go/no-go (CI, block 2)",2.52,0.91,Table 2,180 (15 'go'),180,106,4,2.38,2.52,0,1,0.14,,HR of 1: adjusted to 1-1/(2N),,
,,"Visual CPT go/no-go (CI, block 3)",2.38,0.95,Table 2,180 (15 'go'),180,106,,,,,,,,,,
,,"Visual CPT go/no-go (Hearing, block 1)",3.23,0.85,Table 2,180 (15 'go'),180,66,4,2.87,3.23,0,1,0.36,,,,
,,"Visual CPT go/no-go (Hearing, block 2)",3.07,0.97,Table 2,180 (15 'go'),180,66,4,2.87,3.07,0,1,0.2,,,,
,,"Visual CPT go/no-go (Hearing, block 3)",2.87,1.09,Table 2,180 (15 'go'),180,66,,,,,,,,,,
Horry et al. (2012),1,Visual old/new (in-group faces),0.93,0.51,Results (p.784),40 (20 old),40,57,1,0.49,0.93,0,0,0.44,t-tests,none reported,Journal of Experimental Social Psychology,
,,Visual old/new (out-group faces),0.49,0.39,Results (p.784),40 (20 old),40,57,,,,,,,,,,
Hourihan et al. (2012),1,"Visual old/new (Caucasian, Caucasian faces)",2.19,0.78,Table 1,50 (25 studied),50,50,3,1.51,2.19,1,0,0.68,ANOVA,.05 adjustment for scores of 1 and 0,Journal of Applied Research in Memory & Cognition,
,,"Visual old/new (Caucasian, Asian faces)",1.51,0.57,Table 1,50 (25 studied),50,50,,,,,,,,,,
,,"Visual old/new (Asian, Caucasian faces)",1.56,0.58,Table 1,50 (25 studied),50,52,3,1.51,1.56,0,0,0.05,,,,
,,"Visual old/new (Asian, Asian faces)",1.98,0.58,Table 1,50 (25 studied),50,52,3,1.51,1.98,1,0,0.47,,,,
van Koningsbruggen et al. (2013),1,"Visual present/absent (people, EBA)",1.63,0.6,Results (p.7006),108,108,11,,,,,,,ANOVA,none reported,The Journal of Neuroscience,
,,"Visual present/absent (people, sham)",2.32,0.5,Results (p.7006),108,108,11,3,1.63,2.32,1,0,0.69,,,,
,,"Visual present/absent (car, rEBA)",1.78,0.3,Results (p.7006),108,108,11,3,1.63,1.78,0,0,0.15,,,,
,,"Visual present/absent (car, sham)",1.91,0.5,Results (p.7006),108,108,11,3,1.63,1.91,1,0,0.28,,,,
,2a,"Visual present/absent (people, EBA)",1.87,0.42,Results (p.7006),108,108,9,,,,,,,ANOVA,,,
,,"Visual present/absent (people, sham)",2.42,0.48,Results (p.7006),108,108,9,3,1.87,2.42,0,1,0.55,,,,
,,"Visual present/absent (car, rEBA)",2.07,0.54,Results (p.7006),108,108,9,3,1.87,2.07,0,1,0.2,,,,
,,"Visual present/absent (car, sham)",2.1,0.54,Results (p.7006),108,108,9,3,1.87,2.1,0,1,0.23,,,,
,2b,"Visual present/absent (sham, pre-TMS)",2.21,0.42,Results (p.7007),90,90,9,3,2,2.21,0,1,0.21,ANOVA,,,
,,"Visual present/absent (sham, post-TMS)",2.24,0.51,Results (p.7007),90,90,9,3,2,2.24,0,1,0.24,,,,
,,"Visual present/absent (EBA, pre-TMS)",2.38,0.39,Results (p.7007),90,90,9,3,2,2.38,0,1,0.38,,,,
,,"Visual present/absent (EBA, post-TMS)",2,0.36,Results (p.7007),90,90,9,,,,,,,,,,
Kuo et al. (2012),1,Visual yes/no (semantic),1.94,0.57,Results (p.84),160 (80 studied),160,11,3,1.79,1.94,1,0,0.15,"t-tests, correlations",none reported,Brain Research,Article didn't specify whether SD or SE was used - I assumed SD because that's used other places in the text
,,Visual yes/no (perceptual),1.79,0.6,Results (p.84),160 (80 studied),160,11,,,,,,,,,,
Lewis et al. (2017),1,"Visual go/no-go (T1, 6-7, first half)",1.7,1.05,Table 2,113 (100 'go'),113,35,2,1.3,1.7,0,0,0.4,ANOVA,floor HR for one subject adjusted to assume a hit on 0.5 trials,"Attention, Perception, & Psychophysics",
,,"Visual go/no-go (T1, 6-7, second half)",1.3,0.91,Table 2,112 (100 'go'),112,35,,,,,,,,,,
,,"Visual go/no-go (T2, 6-7, first half)",2.07,0.89,Table 2,113 (100 'go'),113,35,3,1.81,2.07,1,0,0.26,,,,
,,"Visual go/no-go (T2, 6-7, second half)",1.81,0.96,Table 2,112 (100 'go'),112,35,,,,,,,,,,
,,"Visual go/no-go (T3, 6-7, first half)",2.19,1.03,Table 2,113 (100 'go'),113,35,3,1.96,2.19,0,1,0.23,,,,
,,"Visual go/no-go (T3, 6-7, second half)",1.96,1.03,Table 2,112 (100 'go'),112,35,,,,,,,,,,
,,"Visual go/no-go (T1, 8-9, first half)",2.11,0.82,Table 2,113 (100 'go'),113,31,3,2.11,2.11,0,1,0,,,,
,,"Visual go/no-go (T1, 8-9, second half)",2.11,0.82,Table 2,112 (100 'go'),112,31,,,,,,,,,,
,,"Visual go/no-go (T2, 8-9, first half)",2.7,0.67,Table 2,113 (100 'go'),113,31,4,2.5,2.7,0,1,0.2,,,,
,,"Visual go/no-go (T2, 8-9, second half)",2.5,0.97,Table 2,112 (100 'go'),112,31,,,,,,,,,,
,,"Visual go/no-go (T3, 8-9, first half)",2.67,0.86,Table 2,113 (100 'go'),113,31,4,2.64,2.67,0,1,0.03,,,,
,,"Visual go/no-go (T3, 8-9, second half)",2.64,0.71,Table 2,112 (100 'go'),112,31,,,,,,,,,,
,,"Visual go/no-go (T1, 10-11, first half)",2.95,0.99,Table 2,113 (100 'go'),113,37,4,2.8,2.95,0,1,0.15,,,,
,,"Visual go/no-go (T1, 10-11, second half)",2.8,1,Table 2,112 (100 'go'),112,37,,,,,,,,,,
,,"Visual go/no-go (T2, 10-11, first half)",3.06,0.94,Table 2,113 (100 'go'),113,37,4,2.74,3.06,0,1,0.32,,,,
,,"Visual go/no-go (T2, 10-11, second half)",2.74,0.9,Table 2,112 (100 'go'),112,37,,,,,,,,,,
,,"Visual go/no-go (T3, 10-11, first half)",3.19,0.8,Table 2,113 (100 'go'),113,37,4,2.95,3.19,0,1,0.24,,,,
,,"Visual go/no-go (T3, 10-11, second half)",2.95,1,Table 2,112 (100 'go'),112,37,,,,,,,,,,
McKenzie et al. (2010),1,"Tactile present/absent (Session 1, light)",1.8,0.89,Table 1,80 (40 present),80,18,2,1.43,1.8,0,0,0.37,ANOVA,"log linear correction (Snodgrass & Corwin, 1988)",Perception,
,,"Tactile present/absent (Session 1, no light)",1.43,0.8,Table 1,80 (40 present),80,18,,,,,,,,,,
,,"Tactile present/absent (Session 2, light)",1.79,0.87,Table 1,80 (40 present),80,18,2,1.43,1.79,0,0,0.36,,,,
,,"Tactile present/absent (Session 2, no light)",1.51,0.86,Table 1,80 (40 present),80,18,2,1.43,1.51,0,0,0.08,,,,
,2,"Tactile present/absent (Visual, Session 1, light)",1.26,0.76,Table 2,80 (40 present),80,18,2,1.09,1.26,0,0,0.17,ANOVA,,,
,,"Tactile present/absent (Visual, Session 1, no light)",1.09,0.83,Table 2,80 (40 present),80,18,,,,,,,,,,
,,"Tactile present/absent (Visual, Session 2, light)",1.41,0.84,Table 2,80 (40 present),80,18,2,1.09,1.41,0,0,0.32,,,,
,,"Tactile present/absent (Visual, Session 2, no light)",1.35,0.71,Table 2,80 (40 present),80,18,2,1.09,1.35,0,0,0.26,,,,
,,"Tactile present/absent (Visual, Session 3, light)",1.37,0.82,Table 2,80 (40 present),80,18,2,1.09,1.37,0,0,0.28,,,,
,,"Tactile present/absent (Visual, Session 3, no light)",1.2,0.63,Table 2,80 (40 present),80,18,2,1.09,1.2,0,0,0.11,,,,
,,"Tactile present/absent (Tactile, Session 1, light)",1.25,0.93,Table 2,80 (40 present),80,18,2,1.09,1.25,0,0,0.16,,,,
,,"Tactile present/absent (Tactile, Session 1, no light)",1.34,0.71,Table 2,80 (40 present),80,18,2,1.09,1.34,0,0,0.25,,,,
,,"Tactile present/absent (Tactile, Session 2, light)",1.34,0.9,Table 2,80 (40 present),80,18,2,1.09,1.34,0,0,0.25,,,,
,,"Tactile present/absent (Tactile, Session 2, no light)",1.22,0.84,Table 2,80 (40 present),80,18,2,1.09,1.22,0,0,0.13,,,,
,,"Tactile present/absent (Tactile, Session 3, light)",1.22,0.68,Table 2,80 (40 present),80,18,2,1.09,1.22,0,0,0.13,,,,
,,"Tactile present/absent (Tactile, Session 3, no light)",1.19,0.77,Table 2,80 (40 present),80,18,2,1.09,1.19,0,0,0.1,,,,
Miyazaki (2015),1,"Visual present/absent (low prevalence, taped)",3.54,0.7,Table 1,500 (10 present),500,100,5,3.4,3.54,0,1,0.14,ANOVA,"proportions of 0 and 1 adjsuted to avoid infinite values (Macmillan & Creelman, 2005)",Frontiers in Psychology,
,,"Visual present/absent (low prevalence, not taped)",3.45,0.7,Table 1,500 (10 present),500,100,5,3.4,3.45,0,1,0.05,,,,
,,"Visual present/absent (mid prevalence, taped)",3.49,0.6,Table 1,100 (10 present),100,100,5,3.4,3.49,0,1,0.09,,,,
,,"Visual present/absent (mid prevalence, not taped)",3.4,0.6,Table 1,100 (10 present),100,100,,,,,,,,,,
,,"Visual present/absent (high prevalence, taped)",3.71,0.6,Table 1,100 (50 present),100,100,5,3.4,3.71,0,1,0.31,,,,
,,"Visual present/absent (high prevalence, not taped)",3.63,0.6,Table 1,100 (50 present),100,100,5,3.4,3.63,0,1,0.23,,,,
Rauchs et al. (2011),1,"Visual old/new (TBR, RS)",1.33,2.62,Results (p.2565),100 (50 old),100,14,2,1.1,1.33,0,0,0.23,t-tests,none reported,The Journal of Neuroscience,
,,"Visual old/new (TBR, TSD)",1.1,2.36,Results (p.2565),100 (50 old),100,12,,,,,,,,,,
,,"Visual old/new (TBF, RS)",0.52,1.23,Results (p.2565),100 (50 old),100,14,1,0.49,0.52,0,0,0.03,,,,
,,"Visual old/new (TBF, TSD)",0.49,0.9,Results (p.2565),100 (50 old),100,12,,,,,,,,,,
Rohenkol et al. (2012),1,Visual go/no-go (regular),1.45,0.94,Results (p.8426),3500 (300 'go'),3500,13,2,1.35,1.45,0,0,0.1,ANOVA,none reported,The Journal of Neuroscience,"Not sure this is 2AFC: it was go/no-go, but there were two possibilities for 'go' trials (left/right)"
,,Visual go/no-go (irregular),1.35,0.97,Results (p.8426),3500 (300 'go'),3500,13,,,,,,,,,,
Sauer et al. (2012),1,Visual old/new (distinctive),0.78,0.66,Table 5,48 (24 yes),48,96,1,0.42,0.78,0,0,0.36,ANOVA,none reported,Psychonomic Bulletin & Review,
,,Visual old/new (typical),0.42,0.46,Table 5,48 (24 yes),48,96,,,,,,,,,,
Schankin et al. (2011),1,"Visual present/absent (repeated, 1)",2.44,0.68,Table 1,96 (48 present),96,16,,,,,,,ANOVA,none reported,Biological Psychology ,
,,"Visual present/absent (repeated, 2)",2.89,0.92,Table 1,96 (48 present),96,16,4,2.44,2.89,0,1,0.45,,,,
,,"Visual present/absent (repeated, 3)",3.17,0.88,Table 1,96 (48 present),96,16,4,2.44,3.17,0,1,0.73,,,,
,,"Visual present/absent (repeated, 4)",3.42,0.84,Table 1,96 (48 present),96,16,4,2.44,3.17,0,1,0.73,,,,
,,"Visual present/absent (repeated, 5)",3.36,0.84,Table 1,96 (48 present),96,16,4,2.44,3.36,0,1,0.92,,,,
,,"Visual present/absent (novel, 1)",2.49,0.64,Table 1,96 (48 present),96,16,,,,,,,,,,
,,"Visual present/absent (novel, 2)",2.83,0.72,Table 1,96 (48 present),96,16,4,2.49,2.83,0,1,0.34,,,,
,,"Visual present/absent (novel, 3)",3.05,0.88,Table 1,96 (48 present),96,16,4,2.49,3.05,0,1,0.56,,,,
,,"Visual present/absent (novel, 4)",3.29,0.72,Table 1,96 (48 present),96,16,4,2.49,3.29,0,1,0.8,,,,
,,"Visual present/absent (novel, 5)",3.35,0.8,Table 1,96 (48 present),96,16,4,2.49,3.4,0,1,0.91,,,,
Senay et al. (2015),1,Visual go/no-go (active),3.76,0.4,Results (p.265),unclear ,.,35-40,,,,,,,ANOVA,none reported,Applied Cognitive Psychology,"Unclear about how many participants were in each condition in Experiment 1, and about how many trials there were in exp 1 and 2. Imprecise language used to describe number of participants in exp 2."
,,Visual go/no-go (passive),3.89,0.11,Results (p.265),unclear ,.,35-40,5,3.76,3.89,0,1,0.13,,,,
,,Visual go/no-go (control),3.79,0.26,Results (p.265),unclear ,.,35-40,5,3.76,3.79,0,1,0.03,,,,
,2,Visual go/no-go (active),0.83,0.04,Results (p.266),unclear,.,42,,,,,,,t-test,,,
,,Visual go/no-go (passive),0.85,0.02,Results (p.266),unclear,.,42,2,0.83,0.85,0,0,0.02,,,,
Zhao et al. (2018),1,Visual yes/no (RFD),0.39,0.42,Table 1,120 (75 yes),120,14,,,,,,,ANOVA,none reported,Research in Developmental Disabilities ,
,,Visual yes/no (TD),0.71,0.37,Table 1,120 (75 yes),120,14,1,0.39,0.71,0,0,0.32,,,,
Andermane & Bowers (2015),1,"Visual old/new (novel, day 1)",2.32,0.67,Figure 3,unclear,.,16,1,0.39,2.32,1,0,1.93,ANOVA,none reported,Psychonomic Bulletin & Review,
,,"Visual old/new (novel, day 8)",0.9,0.41,Figure 3,unclear,.,16,1,0.39,0.9,0,0,0.51,,,,
,,"Visual old/new (exemplar, day 1)",1.44,0.41,Figure 3,unclear,.,16,1,0.39,1.44,0,0,1.05,,,,
